,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Muscle Muscle cell WK6-10 [Tnnc2 high] (MC20),Muscle,Muscle cell,WK6-10,Tnnc2 high,MC20,38,Muscle cell_Tnnc2 high(Muscle)
Stomach Gastric mucosal cell WK6-10 (MC20),Stomach,Gastric mucosal cell,WK6-10,,MC20,47,Gastric mucosal cell(Stomach)
Small Intestine B cell WK6-10 [Jchain high] (MC20),Small Intestine,B cell,WK6-10,Jchain high,MC20,1095,B cell_Jchain high(Small-Intestine)
Kidney Ureteric epithelium WK6-10 (MC20),Kidney,Ureteric epithelium,WK6-10,,MC20,41,Ureteric epithelium(Kidney)
Bladder Dendritic cell WK6-10 [Cd74 high] (MC20),Bladder,Dendritic cell,WK6-10,Cd74 high,MC20,38,Dendritic cell_Cd74 high(Bladder)
Bone Marrow Mesenchyme Neutrophil WK6-10 (MC20),Bone Marrow Mesenchyme,Neutrophil,WK6-10,,MC20,461,Neutrophil (Bone_Marrow_Mesenchyme)
Mammary Gland T cell WK6-10 [pregnancy] (MC20),Mammary Gland,T cell,WK6-10,pregnancy,MC20,954,T cell(Mammary-Gland-Pregrancy)
Brain Hypothalamic ependymal cell WK6-10 (MC20),Brain,Hypothalamic ependymal cell,WK6-10,,MC20,9,Hypothalamic ependymal cell(Brain)
Muscle Stromal cell P1 [Spp1 high] (MC20),Muscle,Stromal cell,P1,Spp1 high,MC20,15,Stromal cell_Spp1 high(Neonatal-Muscle)
Rib Macrophage P1 [Ctss high] (MC20),Rib,Macrophage,P1,Ctss high,MC20,213,Macrophage_Ctss high(Neonatal-Rib)
Lung Interstitial macrophage WK6-10 (MC20),Lung,Interstitial macrophage,WK6-10,,MC20,224,Interstitial macrophage(Lung)
Muscle Erythroblast WK6-10 [Car1 high] (MC20),Muscle,Erythroblast,WK6-10,Car1 high,MC20,31,Erythroblast_Car1 high(Muscle)
Female  Gonad Epithelial cell E14.5 [Upk3b high] (MC20),Female  Gonad,Epithelial cell,E14.5,Upk3b high,MC20,0,Epithelial cell_Upk3b high(Female_Fetal_Gonad)
Mammary Gland Luminal cell WK6-10 [virgin Krt19 high] (MC20),Mammary Gland,Luminal cell,WK6-10,virgin Krt19 high,MC20,160,Luminal cell_Krt19 high (Mammary-Gland-Virgin)
Stomach Pit cell WK6-10 [Gm26917 high] (MC20),Stomach,Pit cell,WK6-10,Gm26917 high,MC20,89,Pit cell_Gm26917 high(Stomach)
Bone Marrow T cell WK6-10 [Ms4a4b high] (MC20),Bone Marrow,T cell,WK6-10,Ms4a4b high,MC20,30,T cell_Ms4a4b high(Bone-Marrow)
Bone Marrow Macrophage WK6-10 [S100a4 high] (MC20),Bone Marrow,Macrophage,WK6-10,S100a4 high,MC20,19,Macrophage_S100a4 high(Bone-Marrow)
Heart Cardiac muscle cell P1 (MC20),Heart,Cardiac muscle cell,P1,,MC20,54,Cardiac muscle cell(Neonatal-Heart)
Prostate Stromal cell WK6-10 (MC20),Prostate,Stromal cell,WK6-10,,MC20,48,Stromal cell(Prostate)
Thymus B cell WK6-10 (MC20),Thymus,B cell,WK6-10,,MC20,2261,B cell(Thymus)
Bone Marrow B cell WK6-10 [Igkc high] (MC20),Bone Marrow,B cell,WK6-10,Igkc high,MC20,47,B cell_Igkc high(Bone-Marrow)
Kidney Proximal renal tubule E14.5 (MC20),Kidney,Proximal renal tubule,E14.5,,MC20,0,Proximal renal tubule(Fetal_Kidney)
Bone Marrow Mesenchyme Eosinophils WK6-10 (MC20),Bone Marrow Mesenchyme,Eosinophils,WK6-10,,MC20,86,Eosinophils(Bone_Marrow_Mesenchyme)
PC Pericentral WK6-10 (MC20),PC,Pericentral,WK6-10,,MC20,119,Pericentral (PC) hepatocytes(Liver)
